Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
2.351E+05   1.224E-01  5.196E-05 
2.354E+05   1.223E-01  5.190E-05 
2.357E+05   1.222E-01  5.185E-05 
2.359E+05   1.221E-01  5.180E-05 
2.362E+05   1.220E-01  5.174E-05 
2.365E+05   1.219E-01  5.169E-05 
2.367E+05   1.218E-01  5.164E-05 
2.370E+05   1.217E-01  5.158E-05 
2.373E+05   1.215E-01  5.153E-05 
2.375E+05   1.214E-01  5.148E-05 
2.378E+05   1.213E-01  5.143E-05 
2.381E+05   1.212E-01  5.137E-05 
2.383E+05   1.211E-01  5.132E-05 
2.386E+05   1.210E-01  5.127E-05 
2.389E+05   1.209E-01  5.122E-05 
2.391E+05   1.208E-01  5.117E-05 
2.394E+05   1.207E-01  5.111E-05 
2.397E+05   1.206E-01  5.106E-05 
2.399E+05   1.205E-01  5.101E-05 
2.402E+05   1.204E-01  5.096E-05 
2.405E+05   1.202E-01  5.091E-05 
2.407E+05   1.201E-01  5.086E-05 
2.410E+05   1.200E-01  5.080E-05 
2.413E+05   1.199E-01  5.075E-05 
2.415E+05   1.198E-01  5.070E-05 
2.418E+05   1.197E-01  5.065E-05 
2.421E+05   1.196E-01  5.060E-05 
2.423E+05   1.195E-01  5.055E-05 
2.426E+05   1.194E-01  5.050E-05 
2.429E+05   1.193E-01  5.045E-05 
2.431E+05   1.192E-01  5.040E-05 
2.434E+05   1.191E-01  5.035E-05 
2.437E+05   1.190E-01  5.030E-05 
2.439E+05   1.189E-01  5.025E-05 
2.442E+05   1.188E-01  5.020E-05 
2.444E+05   1.187E-01  5.015E-05 
2.447E+05   1.186E-01  5.010E-05 
2.450E+05   1.185E-01  5.005E-05 
2.452E+05   1.184E-01  5.000E-05 
2.455E+05   1.182E-01  4.995E-05 
2.458E+05   1.181E-01  4.990E-05 
2.460E+05   1.180E-01  4.985E-05 
2.463E+05   1.179E-01  4.980E-05 
2.466E+05   1.178E-01  4.975E-05 
2.468E+05   1.177E-01  4.970E-05 
2.471E+05   1.176E-01  4.965E-05 
2.474E+05   1.175E-01  4.960E-05 
2.476E+05   1.174E-01  4.956E-05 
2.479E+05   1.173E-01  4.951E-05 
2.482E+05   1.172E-01  4.946E-05 
2.484E+05   1.171E-01  4.941E-05 
2.487E+05   1.170E-01  4.936E-05 
2.490E+05   1.169E-01  4.931E-05 
2.492E+05   1.168E-01  4.927E-05 
2.495E+05   1.167E-01  4.922E-05 
2.498E+05   1.166E-01  4.917E-05 
2.500E+05   1.165E-01  4.912E-05 
2.503E+05   1.164E-01  4.907E-05 
2.506E+05   1.163E-01  4.903E-05 
2.508E+05   1.162E-01  4.898E-05 
2.511E+05   1.161E-01  4.893E-05 
2.514E+05   1.160E-01  4.888E-05 
2.516E+05   1.159E-01  4.884E-05 
2.519E+05   1.158E-01  4.879E-05 
2.522E+05   1.157E-01  4.874E-05 
2.524E+05   1.156E-01  4.870E-05 
2.527E+05   1.155E-01  4.865E-05 
2.530E+05   1.154E-01  4.860E-05 
2.532E+05   1.153E-01  4.856E-05 
2.535E+05   1.152E-01  4.851E-05 
2.538E+05   1.151E-01  4.846E-05 
2.540E+05   1.151E-01  4.842E-05 
2.543E+05   1.150E-01  4.837E-05 
2.546E+05   1.149E-01  4.832E-05 
2.548E+05   1.148E-01  4.828E-05 
2.551E+05   1.147E-01  4.823E-05 
2.554E+05   1.146E-01  4.819E-05 
2.556E+05   1.145E-01  4.814E-05 
2.559E+05   1.144E-01  4.809E-05 
2.562E+05   1.143E-01  4.805E-05 
2.564E+05   1.142E-01  4.800E-05 
2.567E+05   1.141E-01  4.796E-05 
2.570E+05   1.140E-01  4.791E-05 
2.572E+05   1.139E-01  4.787E-05 
2.575E+05   1.138E-01  4.782E-05 
2.577E+05   1.137E-01  4.778E-05 
2.580E+05   1.136E-01  4.773E-05 
2.583E+05   1.135E-01  4.769E-05 
2.585E+05   1.134E-01  4.764E-05 
2.588E+05   1.133E-01  4.760E-05 
2.591E+05   1.132E-01  4.755E-05 
2.593E+05   1.132E-01  4.751E-05 
2.596E+05   1.131E-01  4.746E-05 
2.599E+05   1.130E-01  4.742E-05 
2.601E+05   1.129E-01  4.738E-05 
2.604E+05   1.128E-01  4.733E-05 
2.607E+05   1.127E-01  4.729E-05 
2.609E+05   1.126E-01  4.724E-05 
2.612E+05   1.125E-01  4.720E-05 
2.615E+05   1.124E-01  4.715E-05 
